apple,banana,cherry,orange,grape,elephant,giraffe,zebra,lion,tiger,
computer,keyboard,mouse,monitor,printer,
python,javascript,java,html,
ocean,mountain,river,forest,desert,
pizza,burger,pasta,sushi,icecream,
guitar,piano,drums,violin,trumpet,
book,movie,music,art,dance,
happy,sad,excited,angry,surprised,
sunflower,rose,tulip,daisy,lily,
moon,star,planet,galaxy,universe,
athlete,scientist,teacher,doctor,engineer,
beach,park,carnival,museum,zoo,
butterfly,dragonfly,ladybug,ant,bee,
football,basketball,soccer,tennis,golf,
rainbow,cloud,rain,snow,wind,
fire,water,earth,air,spirit,
carrot,broccoli,potato,tomato,cucumber,
oxygen,carbon, hydrogen,nitrogen,helium,
camera,phone,watch,glasses,shoes,
train,bus,car,bicycle,motorcycle,
chair,table,bed,sofa,desk
